playerID	nameFirst	nameLast	debut	finalGame		
allisar01	Art	Allison	1871-05-04	1876-10-05		
bassjo01	John	Bass	1871-05-04	1877-08-20		
careyto01	Tom	Carey	1871-05-04	1879-09-29		
carleji01	Jim	Carleton	1871-05-04	1872-05-22		
foranji01	Jim	Foran	1871-05-04	1871-08-29		
goldswa01	Wally	Goldsmith	1871-05-04	1875-06-14		
kellybi01	Bill	Kelly	1871-05-04	1871-08-29		
kimbage01	Gene	Kimball	1871-05-04	1871-09-27		
lennobi01	Bill	Lennon	1871-05-04	1873-07-11		
mathebo01	Bobby	Mathews	1871-05-04	1887-10-10		
mcderjo01	James	McDermott	1871-05-04	1872-07-06		
minched01	Ed	Mincher	1871-05-04	1872-06-26		
paborch01	Charlie	Pabor	1871-05-04	1875-10-28		
prattal01	Al	Pratt	1871-05-04	1872-08-19		
selmafr01	Frank	Sellman	1871-05-04	1875-05-03		
suttoez01	Ezra	Sutton	1871-05-04	1888-06-20		
whitede01	Deacon	White	1871-05-04	1890-10-04		
whiteel01	Elmer	White	1871-05-04	1871-09-27		
allisdo01	Doug	Allison	1871-05-05	1883-07-13		
barnero01	Ross	Barnes	1871-05-05	1881-09-21		
berthha01	Harry	Berthrong	1871-05-05	1871-07-04		
birdsda01	Dave	Birdsall	1871-05-05	1873-05-17		
brainas01	Asa	Brainard	1871-05-05	1874-10-14		
burrohe01	Henry	Burroughs	1871-05-05	1872-05-07		
conefr01	Fred	Cone	1871-05-05	1871-09-09		
forceda01	Davy	Force	1871-05-05	1886-08-20		
gouldch01	Charlie	Gould	1871-05-05	1877-07-12		
hallge01	George	Hall	1871-05-05	1877-10-06		
leonaan01	Andy	Leonard	1871-05-05	1880-07-06		
mcveyca01	Cal	McVey	1871-05-05	1879-09-30		
millsev01	Everett	Mills	1871-05-05	1876-10-17		
nortofr01	Frank	Norton	1871-05-05	1871-05-05		
schafha01	Harry	Schafer	1871-05-05	1878-08-31		
spaldal01	Al	Spalding	1871-05-05	1878-08-31		
waterfr01	Fred	Waterman	1871-05-05	1875-09-23		
wrighge01	George	Wright	1871-05-05	1882-10-02		
wrighha01	Harry	Wright	1871-05-05	1877-09-29		
addybo01	Bob	Addy	1871-05-06	1877-10-06		
ansonca01	Cap	Anson	1871-05-06	1897-10-03		
birdge01	George	Bird	1871-05-06	1871-09-15		
fishech01	Cherokee	Fisher	1871-05-06	1878-07-09		
